complaint,category,cleaned_complaint,no_stopwords,stemmed_complaint,numbered_category
di sisi lain istriku selalu seneng lihat hujan karena pas kecil pernah ngalamin kekeringan parah yg ampe air aja dijatah dan harus ngantri kalo musim hujannya mundur suka gak tenang karena keinget,lingkungan,di sisi lain istriku selalu seneng lihat hujan karena pas kecil pernah ngalamin kekeringan parah yg ampe air aja dijatah dan harus ngantri kalo musim hujannya mundur suka gak tenang karena keinget,"['sisi', 'istriku', 'seneng', 'lihat', 'hujan', 'pas', 'ngalamin', 'kekeringan', 'parah', 'yg', 'ampe', 'air', 'aja', 'dijatah', 'ngantri', 'kalo', 'musim', 'hujannya', 'mundur', 'suka', 'gak', 'tenang', 'keinget']",sisi istri neng lihat hujan pas ngalamin kering parah yg ampe air aja jatah ngantri kalo musim hujan mundur suka gak tenang keinget,0
aku dari kecil hidup miskin suka banget sama hujan pulang sekolah belabelain jalan kaki biar bisa hujanhujanan pas udah kerja juga suka milih jalan kaki kalau hujan aku malah takut banget kalau ada kekeringan karena panas bikin aku sering sakit,fasilitas umum,aku dari kecil hidup miskin suka banget sama hujan pulang sekolah belabelain jalan kaki biar bisa hujanhujanan pas udah kerja juga suka milih jalan kaki kalau hujan aku malah takut banget kalau ada kekeringan karena panas bikin aku sering sakit,"['hidup', 'miskin', 'suka', 'banget', 'hujan', 'pulang', 'sekolah', 'belabelain', 'jalan', 'kaki', 'biar', 'hujanhujanan', 'pas', 'udah', 'kerja', 'suka', 'milih', 'jalan', 'kaki', 'hujan', 'takut', 'banget', 'kekeringan', 'panas', 'bikin', 'sakit']",hidup miskin suka banget hujan pulang sekolah belabelain jalan kaki biar hujanhujanan pas udah kerja suka milih jalan kaki hujan takut banget kering panas bikin sakit,1
oh kamu maunya seumur hidupmu ga ngerasain hujan kah kalo dikabulin sama allah ga dikasih hujan sama sekali biar kekeringan kamu mau,kekeringan,oh kamu maunya seumur hidupmu ga ngerasain hujan kah kalo dikabulin sama allah ga dikasih hujan sama sekali biar kekeringan kamu mau,"['oh', 'maunya', 'seumur', 'hidupmu', 'ga', 'ngerasain', 'hujan', 'kah', 'kalo', 'dikabulin', 'allah', 'ga', 'dikasih', 'hujan', 'biar', 'kekeringan']",oh mau umur hidup ga ngerasain hujan kah kalo dikabulin allah ga kasih hujan biar kering,2
masa lebih suka kekeringan gak ada air sih sumber air bumi juga ada krn siklus hujan,polusi,masa lebih suka kekeringan gak ada air sih sumber air bumi juga ada krn siklus hujan,"['suka', 'kekeringan', 'gak', 'air', 'sih', 'sumber', 'air', 'bumi', 'krn', 'siklus', 'hujan']",suka kering gak air sih sumber air bumi krn siklus hujan,3
dampak kekeringan di desa kuwon pemberian edukasi kepada masyarakat yang tinggal di kawasan lereng pegunungan untuk mencegah terjadinya karhutla perampingan pohon yang membahayakan guna melindungi pengguna jalan serta berbagai upaya mitigasi struktural yang dapat memperkuat,fasilitas umum,dampak kekeringan di desa kuwon pemberian edukasi kepada masyarakat yang tinggal di kawasan lereng pegunungan untuk mencegah terjadinya karhutla perampingan pohon yang membahayakan guna melindungi pengguna jalan serta berbagai upaya mitigasi struktural yang dapat memperkuat,"['dampak', 'kekeringan', 'desa', 'kuwon', 'pemberian', 'edukasi', 'masyarakat', 'tinggal', 'kawasan', 'lereng', 'pegunungan', 'mencegah', 'karhutla', 'perampingan', 'pohon', 'membahayakan', 'melindungi', 'pengguna', 'jalan', 'upaya', 'mitigasi', 'struktural', 'memperkuat']",dampak kering desa won beri edukasi masyarakat tinggal kawasan lereng gunung cegah karhutla ramping pohon bahaya lindung guna jalan upaya mitigasi struktural kuat,1
dinas kesehatan damkar dishub diskominfo dan beberapa opd terkait serta perwakilan kecamatan yang rawan bencana dalam rapat tersebut membahas tentang tindaklanjut penanganan dampak kekeringan di desa kuwon kecamatan karas dan dampak karhutla yang masih dominan terjadi di,lingkungan,dinas kesehatan damkar dishub diskominfo dan beberapa opd terkait serta perwakilan kecamatan yang rawan bencana dalam rapat tersebut membahas tentang tindaklanjut penanganan dampak kekeringan di desa kuwon kecamatan karas dan dampak karhutla yang masih dominan terjadi di,"['dinas', 'kesehatan', 'damkar', 'dishub', 'diskominfo', 'opd', 'terkait', 'perwakilan', 'kecamatan', 'rawan', 'bencana', 'rapat', 'membahas', 'tindaklanjut', 'penanganan', 'dampak', 'kekeringan', 'desa', 'kuwon', 'kecamatan', 'karas', 'dampak', 'karhutla', 'dominan']",dinas sehat damkar dishub diskominfo opd kait wakil camat rawan bencana rapat bahas tindaklanjut tangan dampak kering desa won camat karas dampak karhutla dominan,0
aku banyak kenangan miris waktu hujan tp aku ga membenci hujan sih kekeringan lebih ga enak coy,kekeringan,aku banyak kenangan miris waktu hujan tp aku ga membenci hujan sih kekeringan lebih ga enak coy,"['kenangan', 'miris', 'hujan', 'tp', 'ga', 'membenci', 'hujan', 'sih', 'kekeringan', 'ga', 'enak', 'coy']",kenang miris hujan tp ga benci hujan sih kering ga enak coy,2
betul didesa ku salah semua mau hujan selalu mati lampu lama ga hujan kekeringan dan harus effort nyari air atau beli,polusi,betul didesa ku salah semua mau hujan selalu mati lampu lama ga hujan kekeringan dan harus effort nyari air atau beli,"['didesa', 'ku', 'salah', 'hujan', 'mati', 'lampu', 'ga', 'hujan', 'kekeringan', 'effort', 'nyari', 'air', 'beli']",desa ku salah hujan mati lampu ga hujan kering effort nyari air beli,3
sama aja si di desa yang pdam sering macet juga kesusahan kalo kekeringan beda sama yang di kota air pdam lancar walau kemarau,fasilitas umum,sama aja si di desa yang pdam sering macet juga kesusahan kalo kekeringan beda sama yang di kota air pdam lancar walau kemarau,"['aja', 'si', 'desa', 'pdam', 'macet', 'kesusahan', 'kalo', 'kekeringan', 'beda', 'kota', 'air', 'pdam', 'lancar', 'kemarau']",aja si desa pdam macet susah kalo kering beda kota air pdam lancar kemarau,1
apasih gila lo kalo ngga hujan malah ntar kekeringan pada bingung dan kurangnya air bersih alasan kenapa hujan diciptakan adalah untuk orang yang bermukim mengalami kekeringan serta berdoa di musim hujan malah mustajab,lingkungan,apasih gila lo kalo ngga hujan malah ntar kekeringan pada bingung dan kurangnya air bersih alasan kenapa hujan diciptakan adalah untuk orang yang bermukim mengalami kekeringan serta berdoa di musim hujan malah mustajab,"['apasih', 'gila', 'lo', 'kalo', 'ngga', 'hujan', 'ntar', 'kekeringan', 'bingung', 'kurangnya', 'air', 'bersih', 'alasan', 'hujan', 'diciptakan', 'orang', 'bermukim', 'mengalami', 'kekeringan', 'berdoa', 'musim', 'hujan', 'mustajab']",apasih gila lo kalo ngga hujan ntar kering bingung kurang air bersih alas hujan cipta orang mukim alami kering doa musim hujan mustajab,0
gue suka banget ujan stok air melimpah gak kekeringan gue tetep semangat kerja berangkat kerja ujan menurut gue enak bange dan suhu gak panas kerja di ac si enak kagak kepanasan nah kalo yang kerjanya gak pake ac hujan nolong suhu banget sih jadi adem,polusi,gue suka banget ujan stok air melimpah gak kekeringan gue tetep semangat kerja berangkat kerja ujan menurut gue enak bange dan suhu gak panas kerja di ac si enak kagak kepanasan nah kalo yang kerjanya gak pake ac hujan nolong suhu banget sih jadi adem,"['gue', 'suka', 'banget', 'ujan', 'stok', 'air', 'melimpah', 'gak', 'kekeringan', 'gue', 'tetep', 'semangat', 'kerja', 'berangkat', 'kerja', 'ujan', 'gue', 'enak', 'bange', 'suhu', 'gak', 'panas', 'kerja', 'ac', 'si', 'enak', 'kagak', 'kepanasan', 'kalo', 'kerjanya', 'gak', 'pake', 'ac', 'hujan', 'nolong', 'suhu', 'banget', 'sih', 'adem']",gue suka banget ujan stok air limpah gak kering gue tetep semangat kerja berangkat kerja ujan gue enak bange suhu gak panas kerja ac si enak kagak panas kalo kerja gak pake ac hujan nolong suhu banget sih adem,3
real kecuali lo hidup di daerah kekeringan atau petani yang butuh hujan ga usah happyhappy amatlah sama hujan apalagi yang deres,kekeringan,real kecuali lo hidup di daerah kekeringan atau petani yang butuh hujan ga usah happyhappy amatlah sama hujan apalagi yang deres,"['real', 'kecuali', 'lo', 'hidup', 'daerah', 'kekeringan', 'petani', 'butuh', 'hujan', 'ga', 'happyhappy', 'hujan', 'deres']",real kecuali lo hidup daerah kering tani butuh hujan ga happyhappy hujan deres,2
si paling susah nyalahin hujan ntar kekeringan nangis minta air,polusi,si paling susah nyalahin hujan ntar kekeringan nangis minta air,"['si', 'susah', 'nyalahin', 'hujan', 'ntar', 'kekeringan', 'nangis', 'air']",si susah nyalahin hujan ntar kering nang air,3
kalau mindsetnya begitu berarti dia pecundang yang gak pernah ngerasain susahnya kekeringan air amp kemarau panjang hidup susah bukan cuma saat hujan yang saat kondisi kekeringan juga ada,polusi,kalau mindsetnya begitu berarti dia pecundang yang gak pernah ngerasain susahnya kekeringan air amp kemarau panjang hidup susah bukan cuma saat hujan yang saat kondisi kekeringan juga ada,"['mindsetnya', 'pecundang', 'gak', 'ngerasain', 'susahnya', 'kekeringan', 'air', 'amp', 'kemarau', 'hidup', 'susah', 'hujan', 'kondisi', 'kekeringan']",mindsetnya cundang gak ngerasain susah kering air amp kemarau hidup susah hujan kondisi kering,3
santai aja kita udh masuk di perubahan iklim dimana musim hujan makin pendek bentar lagi kekeringan panjang trus dajjal keluar branding diri jadi savior,kekeringan,santai aja kita udh masuk di perubahan iklim dimana musim hujan makin pendek bentar lagi kekeringan panjang trus dajjal keluar branding diri jadi savior,"['santai', 'aja', 'udh', 'masuk', 'perubahan', 'iklim', 'dimana', 'musim', 'hujan', 'pendek', 'bentar', 'kekeringan', 'trus', 'dajjal', 'branding', 'savior']",santai aja udh masuk ubah iklim mana musim hujan pendek bentar kering trus dajjal branding savior,2
buat sebagian masyarakat lebih baik hujan daripada kekeringan,kekeringan,buat sebagian masyarakat lebih baik hujan daripada kekeringan,"['masyarakat', 'hujan', 'kekeringan']",masyarakat hujan kering,2
benci hujan juga beda sama benci banjir yg jd masalah kan banjirnya bukan hujan dan beberapa daerah langganan kekeringan dan kemarau lho bs gak si air banjirnya ditransfer ke daerah yg butuh air kita kekeringan situ kebanjiran,polusi,benci hujan juga beda sama benci banjir yg jd masalah kan banjirnya bukan hujan dan beberapa daerah langganan kekeringan dan kemarau lho bs gak si air banjirnya ditransfer ke daerah yg butuh air kita kekeringan situ kebanjiran,"['benci', 'hujan', 'beda', 'benci', 'banjir', 'yg', 'jd', 'banjirnya', 'hujan', 'daerah', 'langganan', 'kekeringan', 'kemarau', 'lho', 'bs', 'gak', 'si', 'air', 'banjirnya', 'ditransfer', 'daerah', 'yg', 'butuh', 'air', 'kekeringan', 'situ', 'kebanjiran']",benci hujan beda benci banjir yg jd banjir hujan daerah langgan kering kemarau lho bs gak si air banjir transfer daerah yg butuh air kering situ banjir,3
asli padahal kita juga udah sering ngerasain kekeringan dan betapa panasnya dunia kalau gak turun hujan pas kemarau ada aja alesan buat benci sesuatu padahal sesuatu itu sangat bermanfaat,kekeringan,asli padahal kita juga udah sering ngerasain kekeringan dan betapa panasnya dunia kalau gak turun hujan pas kemarau ada aja alesan buat benci sesuatu padahal sesuatu itu sangat bermanfaat,"['asli', 'udah', 'ngerasain', 'kekeringan', 'betapa', 'panasnya', 'dunia', 'gak', 'turun', 'hujan', 'pas', 'kemarau', 'aja', 'alesan', 'benci', 'bermanfaat']",asli udah ngerasain kering betapa panas dunia gak turun hujan pas kemarau aja alesan benci manfaat,2
nggak perlu sampe gini berkah hujan juga ada kalo nggak ada hujan gimana lu mau hidup kekeringan bahan pangan pada mati semuanya ada berkahnya,kekeringan,nggak perlu sampe gini berkah hujan juga ada kalo nggak ada hujan gimana lu mau hidup kekeringan bahan pangan pada mati semuanya ada berkahnya,"['nggak', 'sampe', 'gini', 'berkah', 'hujan', 'kalo', 'nggak', 'hujan', 'gimana', 'lu', 'hidup', 'kekeringan', 'bahan', 'pangan', 'mati', 'berkahnya']",nggak sampe gin berkah hujan kalo nggak hujan gimana lu hidup kering bahan pangan mati berkah,2
betul hal hal ini terjadi saat hujan tp itu semua bukan salah hujannya tp manusia nya wkwkwk gada hujan ntar malah ngeluh kepanasan kekeringan dehidrasi manusia bisanya ngeluh aja,kekeringan,betul hal hal ini terjadi saat hujan tp itu semua bukan salah hujannya tp manusia nya wkwkwk gada hujan ntar malah ngeluh kepanasan kekeringan dehidrasi manusia bisanya ngeluh aja,"['hujan', 'tp', 'salah', 'hujannya', 'tp', 'manusia', 'nya', 'wkwkwk', 'gada', 'hujan', 'ntar', 'ngeluh', 'kepanasan', 'kekeringan', 'dehidrasi', 'manusia', 'bisanya', 'ngeluh', 'aja']",hujan tp salah hujan tp manusia nya wkwkwk gada hujan ntar ngeluh panas kering dehidrasi manusia bisa ngeluh aja,2
