complaint,is_complaint
Kenapa pemerintah belum menyediakan solusi konkret untuk daerah daerah yang selalu mengalami kekeringan setiap kemarau panjang Ini sudah jadi masalah tahunan,1
Di desa kami fasilitas air bersih sering bermasalah saat musim kemarau,1
Kualitas udara semakin buruk polusi kendaraan dan industri terus meningkat tapi program penghijauan sepertinya jalan di tempat,1
Penanganan sampah plastik masih buruk banyak sungai tercemar karena masyarakat tidak tahu harus membuang sampah ke mana,1
Pemerintah daerah sebaiknya membangun lebih banyak penampungan air hujan untuk mengurangi dampak kekeringan,1
Edukasi masyarakat tentang pentingnya menjaga hutan dan mencegah kebakaran hutan perlu diperbanyak terutama di kawasan rawan bencana,1
Program reboisasi di wilayah pegunungan harus ditingkatkan untuk menjaga keseimbangan ekosistem dan mencegah longsor,1
Untuk mengurangi polusi kampanye penggunaan transportasi umum atau kendaraan listrik perlu digalakkan dengan insentif menarik,1
Manusia kadang suka aneh ya panas ngeluh minta hujan giliran dikasih hujan besar biar nggak kepanasan ya juga ngeluh terus mau kalian apa tinggal disyukuri aja nikmat Tuhan kok susah banget,1
Wilayah yang lebih sering kemarau dan sering kena kekeringan disuruh tanam padi ya minus bosku masa penguasa nggak tahu pengetahuan ini sih,1
Yang nggak tinggal di daerah kekeringan pasti nggak paham,1
Baru nyadar lagi Bener Xavi Girlies apa nggak kekeringan itu,1
Pengelolaan air yang baik akan melindungi kita dari banjir dan kekeringan,1
Pembangunan cek dam dinilai bisa jadi solusi permanen atasi kekeringan,1
Terus ada hubungannya sama kita Ada dong Ketika pohon pohon bisa saling membantu dan melindungi seluruh ekosistem hutan jadi lebih kuat dan tahan terhadap ancaman seperti hama kekeringan atau kebakaran hutan,1
Pemerintah harus memperkuat komitmen dan tanggung jawabnya untuk menghentikan dan menurunkan laju deforestasi dengan alasan apapun sebab risikonya sangat besar yaitu berbagai bencana alam seperti tanah longsor banjir kekeringan dan erosi lahan,1
