"complaint","category"
"as of 23 april 2019
di gedung utamanya dari dulu terkenal sbg tempat perkawinan bergengsi
di foto terlampir adalah kegiatan kordinasi nasional khusus nya antara esdm dan dishut dalam upaya revegetasi hutan dan das akibat tambang , bagus lah",hutan
"kantor kementerian lingkungan hidup dan kehutanan ini memiliki kawasan hutan kota yang asri, ditanami bermacam-macam pohon yang diberi papan informasi mengenai pohon tersebut.
juga terdapat sebuah kafe shop mini di dalam hutan kota, yaitu arborea cafe.",hutan
"salah satu gedung kementrian yang cukup sejuk dan membuat segar mata, karena di kelilingi hutan mini yang banyaaaaak sekali pohon-pohon tinggi. dalam komplek gedung ini ada cafe yang cozy banget. buat yang muslim, mesjid disini asik banget, mwsjidnya gede dan arsitekturnya cukup menarik 👍👍 …",hutan
insfirasi yang perlu di tindak lanjuti dan lapanvan pekernaan siap untuk di kembangkan bsnpbi karawang dengan program memanfaatkan sampah organik untuk maggot do 22 kecamatan,sampah
"terdapat hutan kota arboretum lukito daryadi, yang menyejukan ditengah hirup pikuk pusat kota jakarta. cocok bagi yang ingin melepas penat. adajuga cafe arborea yang menyajikan aneka kopi nusantara.",hutan
"suasananya sangat asri, taman yang luas dan tertata rapih. ada kolam ikan juga. asyik untuk jogging menghirup udara pagi yg sejuk",polusi
saya mendapat banyak ilmu dari pak saparis salah satu kasubdit di sini. beliau di tengah kesibukannya bersedia berbagi ilmu mengenai perencanaan tata ruang berbasis das sebagai upaya mitigasi bencana. terima kasih.,others
selain fasilitas lain yang sangat bagus dan tertata dengan apik begitupun tempat beribadah.,others
mf bpk yg terhormat. surat sk. itu si penerima di kenakan biyaya tdk?. soalny di wulayah kami . 1org 150rb.  per sk. . dan lahan garap per meter 40 perak. klo 1 hektar 400rb. . mf bpk  ini lahan iphps. . mohon di jelaskan .posisi  wilayah dologan  kec. karanggede.kab. boyolalu,layanan
"penyiraman hutan lindung merupakan cara yang terbaik untuk mencegah kebakaran hutan menjaga dan melindungi stoks oksigen dunia terima kasih, hutan yang gugur daunnya tidak bisa mengeluarkan oksigen , penyiraman hutan merupakan cara yang terbaik dan tercanggih di dunia untuk menyelamatkan flora dan fauna agar tetap lestari terima kasih selamat pagi.",hutan
"di komplek manggala wanabakti telah dibuka sebuah resto kafe bernama mangrofe, mangrove cafe. tempat yang sangat nyaman untuk pengunjung gedung manggala, baik untuk urusan dinas di kementerian lhk maupun untuk urusan lainnya, seperti resepsi di auditorium manggala. kopi dari berbagai daerah di nusantara, snack dan meal lengkap tersedia. pengelola restocafe ini juga menyediakan ruang meeting yang nyaman.",others
"komplek perkantoran ini berada di sebelah barat gedung dpr - mpr ri. lingkungannya relatif adem dengan banyak pepohanan rindang.
ruang parkir di halaman gedung juga cukup luas. ada ruang parkir khusus mobil, sepeda motor bahkan sepeda kayuh.
lokasi ini mudah dijangkau dengan commuterbline dari stasiun palmerah. tinggal jalan kaki beberapa menit saja.
#klhk #kantorpemerintah",fasilitas umum
"gedung perkantoran yang sangat asri dengan berbagai tamanan disertai namanya agar kita bisa sambil menambah pengetahuan. danau kecil menjadikan pelengkap yang sangat asri. di dalamnya suasana sejuk dan nyaman, bersih, tapi agak membingungkan karena gedungnya besar dan bagian-bagiannya banyak sekali. tapi semua staff sangat ramah dan mau membantu.",others
"masjidnya enak. sayang, ruang buat nunggunya g ada. masa nunggu sambil berdiri. adanya cafe. kalo dicafe2an mahal. jauh juga dr kantor orang2 yg ditunggu.",others
"tempat saya praktek kerja lapangan, sungguh bersih dan bikin nyaman tempatnya hehe",others
salam untuk semuanya...saya mau mencari teman orang tua saya...adapun yg saya cari adalah bapak ir.isman dayat.beliau pernah menjabat kakanwil kehutanan prov.kalbar sekitar tahun 1975 - 1979.setelah itu kami kehilangan kontak karena kami pindah ke jawa..mungkin ada yg punya info dimana beliau sekarang..terima kasih sebelumnya..,hutan
