complaints,category
@jukihoki di sisi lain istriku selalu seneng lihat hujan. karena pas kecil pernah ngalamin kekeringan parah yg ampe air aja dijatah dan harus ngantri. kalo musim hujannya mundur suka gak tenang karena keinget.,lingkungan
aku dari kecil hidup miskin suka banget sama hujan. pulang sekolah bela-belain jalan kaki biar bisa hujan-hujanan. pas udah kerja juga suka milih jalan kaki kalau hujan. aku malah takut banget kalau ada kekeringan karena panas bikin aku sering sakit,jalan rusak
oh kamu maunya seumur hidupmu ga ngerasain hujan kah? kalo dikabulin sama allah ga dikasih hujan sama sekali biar kekeringan kamu mau?,kekeringan
yosh irigasi dah ngalir bye bye arc kekeringan pindah ke arc persiapan badai auto penekan genteng,kekeringan
sumpah cuy gue baru tau disini kalo mau ambil air itu bayar maksusnya tuh disinikan kekeringan (alhamduliah dirumah kelebihan air soapnya bpk w rajin perbaiki air klo mati) jd orang2 yg lain tuh mau ambil air pake timba doang bayar jir???‍‍,air
@ravenxxxxk @theluckiestboy @eneroisbulking demikian juga kl kekeringan,kekeringan
@acipanser @kastara05 masa lebih suka kekeringan gak ada air sih? sumber air bumi juga ada krn siklus hujan ,air
@kastara05 petani yg gagal panen gara2 kekeringan &amp; jarang hujan : https://t.co/ervc9hyook,kekeringan
dampak kekeringan di desa kuwon pemberian edukasi kepada masyarakat yang tinggal di kawasan lereng pegunungan untuk mencegah terjadinya karhutla perampingan pohon yang membahayakan guna melindungi pengguna jalan serta berbagai upaya mitigasi struktural yang dapat memperkuat~,jalan rusak
dinas kesehatan damkar dishub diskominfo dan beberapa opd terkait serta perwakilan kecamatan yang rawan bencana. dalam rapat tersebut membahas tentang tindaklanjut penanganan dampak kekeringan di desa kuwon kecamatan karas dan dampak karhutla yang masih dominan terjadi di~ https://t.co/lmbiqo3g96,lingkungan
badan penanggulangan bencana daerah (bpbd) selenggarakan rapat koordinasi evaluasi penanganan kekeringan dan karhutla serta antisipasi menghadapi ancaman bencana hidrometeorologi tahun 2024. hadir dalam rapat tersebut perwakilan dari bbws pdam tni/ polri dpupr dinas sosial~ https://t.co/wfeljjxfli,lingkungan
rapat koordinasi antisipasi ancaman bencana hidrometeorologi dan evaluasi penanganan bencana kekeringan serta kebakaran hutan dan lahan https://t.co/zpqqyqlebh,kekeringan
@eneroisbulking sebagai yang tumbuh dengan rumah bocor dan orang tua tanpa kendaraan pribadi sampai pasca reformasi saya lebih takut saat tidak hujan waktu kekeringan tidak pernah menyenangkan harus mengambil air jalan kaki 2km dan balik berkali-kali untuk kebutuhan air minum dan masak.,jalan rusak
pemerintah kabupaten malang melalui bpbd terus melakukan distribusi air bersih secara intensif. hingga saat ini lebih dari 4 6 juta liter air telah disalurkan ke wilayah-wilayah terdampak kekeringan di 18 desa meliputi kecamatan sumbermanjing wetan donomulyo hingga pagak. https://t.co/ws4o93ydyw,air
kata gua sih gausa bawa bawa lu belom pernah ngerasain kemarau panjang. karna i doubt orang yg gabisa bersimpati dg orang yg gasuka hujan bakalan relate sama orang yg ngalamin kekeringan mampus pas kemarau. u probably live in city yg ada pdam nya ga pake air sumur/sungai jlek,lingkungan
@gakgitudongpal @eneroisbulking mereka orang2 problematik bang gak ada hujan kekeringan gak bisa makan,kekeringan
@joesvult @kastara05 lu pernah hidup di daerah yg kekeringan gak? kaya dunia berputar di kehidupan orang yg tinggal di bantarak kali aja,kekeringan
lu pagi pagi berangkat kerja dlm keadaan macam buta ga nampak apa apa bayangin motoran dengan jarak pandang kurang 1 meter berasa di awan njirrr belum kekeringan kekurangan air malam pun bau asap,lingkungan
gue yang jalan nyantai pas kmrn pulang ujan2an tanpa payung dan jas ujan dari halte busway be like. kalo nggak ada ujan keseimbangan alam keganggu. perkara nggak punya mobil aja begini bener set dah. tinggal di gurun dah sana yg kekeringan jarang ujan.,jalan rusak
sama saja karena aku pernah merasa kekeringan air sulit mau mandi cuci piring baju susah sawah kering ikan pada mati krn kurang air ... skrg tiap hujan deras berasa bersyukur banget ... bukan karena suka atau tidak suka ...,air
kalau dibandingkan dengan musim kemarau dan kekeringan yang pernah saya alami waktu kecil dan liat sawah jadi gersang blas dan puso (kalo ga salah tahun 2000-an) kehujanan dikit is a small price to pay . tapi tetep hujan yang berlebihan juga serem sih.,lingkungan
@rhatomi @eneroisbulking itu efek samping sosio ekenomi yang bisa diselesaikan kalau pemerintah kerja bener. kalau kekeringan berkepanjangan mau kita effort gmn gk bakal bisa lawan alam,lingkungan
@theluckiestboy @eneroisbulking mungkin kalau kemarau panjang sampai kekeringan baru merasakan keberkahannya bang. orang biasa gitu tunggu kehilangan dulu baru merasakan.,kekeringan
kamar gw sekarang tiap hujan pasti bocor. kadang barang2 gw rusak karna basah. tpi ga pernah sekalipun gw benci hujan. ngeliat kondisi bumi sekarang yng makin panas justru gw bersyukur msih dikasih hujan. gw mending kamar gw bocor dibanding dilanda kekeringan.,kekeringan
bodor anjay. orang kebanyakan ga suka ujan karena efeknya merugikan mereka itu bisa dipahamin. malah di-doain kekeringan. nanti lu kena juga lah dodol,kekeringan
@eneroisbulking aku banyak kenangan miris waktu hujan tp aku ga membenci hujan sih kekeringan lebih ga enak coy ,kekeringan
@aaayeppeo @ricardokja this year je lah sekali harung the present nanti jkjk hahahhaa next year lepas raya pls apa² pun~ dah macam gurun sahara dah ni kekeringan saya ,kekeringan
@kastara05 gw lebih ogah kekeringan,kekeringan
sign yinlin sih ada ya. tp apa gw hrus pull dia di tengah2 kekeringan dan leaks phrolov playable. ,kekeringan
@mckenies17 @gakgitudongpal @eneroisbulking betul didesa ku salah semua mau hujan selalu mati lampu. lama ga hujan kekeringan dan harus effort nyari air atau beli,air
@rhatomi @eneroisbulking sama aja si di desa yang pdam sering macet juga kesusahan kalo kekeringan beda sama yang di kota air pdam lancar walau kemarau,macet
@eneroisbulking kontradiktif sebenernya paham kok adanya hujan-kemarau itu siklus yg menjaga ekosistem. di satu sisi emang hujan itu memberikan suasana sejuk teduh dan mengurangi kekeringan tapi masalahnya emang jadi personal ketika hujan itu ga membawa berkah yg semestinya...,kekeringan
@theluckiestboy @eneroisbulking apasih gila lo kalo ngga hujan malah ntar kekeringan pada bingung dan kurangnya air bersih. alasan kenapa hujan diciptakan adalah untuk orang yang bermukim mengalami kekeringan serta berdoa di musim hujan malah mustajab,lingkungan
pengaruh el-nino tahun kemaren bikin aq makin mencintai dan mensyukuri datangnya hujan selama nggak bikin banjir (which is most likely caused by tata kota yg buruk sehingga air nggak dialirkan dengan baik). kekeringan tahun kemaren tuh bikin nelangsa lintas spesies.,air
gue suka banget ujan stok air melimpah gak kekeringan gue tetep semangat kerja berangkat kerja ujan menurut gue enak bange dan suhu gak panas kerja di ac si enak kagak kepanasan nah kalo yang kerjanya gak pake ac hujan nolong suhu banget sih jadi adem,air
@mrslertratkosum @fivewolfies @ekklesiahu63619 @aprilsthetic__ @xniterens @joominah @xoxombull mungkin diamond mendengar rengekan kita yang kemarin kekeringan momen,kekeringan
@eneroisbulking paling bener hujan secukupnya panas secukupnya tapi ya dunia gak bisa berjalan begitu wkwk karna kalo gak hujan kasian petani pasti kekeringan sampe gagal panen banyak juga warga yang ngandelin air sumur pada gak punya air,jalan rusak
3. cotul morii moldova moldova salah satu negara eropa yang paling rentan terhadap perubahan iklim menghadapi risiko banjir kekeringan dan badai. salah satu desa yang terparah terdampak adalah cotul morii.,kekeringan
@eneroisbulking kasian orang yang daerahnya kekeringan / kemarau panjang dikatain pecundang wkwkwk tolol bet,kekeringan
real kecuali lo hidup di daerah kekeringan atau petani yang butuh hujan ga usah happy-happy amatlah sama hujan apalagi yang deres,kekeringan
si paling susah nyalahin hujan ntar kekeringan nangis minta air....,air
@eneroisbulking kalau mindsetnya begitu berarti dia pecundang yang gak pernah ngerasain susahnya kekeringan air &amp; kemarau panjang. hidup susah bukan cuma saat hujan yang saat kondisi kekeringan juga ada.,air
orang yang ngga suka hujan juga belum ngerasain kekeringan di daerahnya. yep i can say the same to you that you are a sore loser who yapping about anything and everything kerja kok mencela,kekeringan
@_fanani7 @anonimbanana @kastara05 dulu aja pas jarang hujan pada marah marah karena kepanasan dan kekeringan pada berharap hujan turun sekarang dikasih hujan trus bersyukur malah dibilang loser tolol emang,kekeringan
santai aja kita udh masuk di perubahan iklim dimana musim hujan makin pendek bentar lagi kekeringan panjang trus dajjal keluar branding diri jadi savior ,kekeringan
@eneroisbulking kata gue mah tergantung pov nya elu apa. krn banyak juga org diluar sana berbulan bahkan bertahun ga hujan smpe kekeringan mrk ngarep turun hujan bkn maen. naif banget bilang org yg suka hujan itu pecundang yg ga mau keluar rumah kek lu paling pemenang aja songong.,kekeringan
@anonimbanana @kastara05 pdhal klo hujan gk turun keseimbangan alam keganggu.. sampe2 daerah pelosok dmn2 kekeringan pada minta hujan. gr hujan sebentar pas lo kluar sampe benci.. bukannya doa semoga hujan gk membawa bencana..,lingkungan
ini orang belum pernah jadi warga ntt/ntb yang langganan dilanda kekeringan karena kemarau ..,kekeringan
buat sebagian masyarakat lebih baik hujan daripada kekeringan,kekeringan
@1144_zip @eneroisbulking benci hujan juga beda sama benci banjir. yg jd masalah kan banjirnya bukan hujan. dan beberapa daerah langganan kekeringan dan kemarau lho. bs gak si air banjirnya ditransfer ke daerah yg butuh air kita kekeringan situ kebanjiran ,air
@munchkiddie asli padahal kita juga udah sering ngerasain kekeringan dan betapa panasnya dunia kalau gak turun hujan pas kemarau.... ada aja alesan buat benci sesuatu padahal sesuatu itu sangat bermanfaat,kekeringan
@__ishtar_ @gakgitudongpal @eneroisbulking dan pernah mikir gak sih klo kesempatan melayang tuh bisa jd emg jalan hidup lu bukan kesitu. jalani hidup tuh mikir baik2 aja. hujan tuh lebih bnyk berkah manusia lebih cepet matinya klo kekeringan tanpa air. klo dlm islam manusia ga boleh mencela hujan ada di alquran,jalan rusak
nggak perlu sampe gini. berkah hujan juga ada. kalo nggak ada hujan gimana lu mau hidup? kekeringan bahan pangan pada mati. semuanya ada berkahnya,kekeringan
@__ishtar_ @gakgitudongpal @eneroisbulking betul hal hal ini terjadi saat hujan tp itu semua bukan salah hujannya tp manusia nya wkwkwk gada hujan ntar malah ngeluh kepanasan kekeringan dehidrasi. manusia bisanya ngeluh aja,kekeringan
