"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1853143810408337580","Sun Nov 03 18:34:48 +0000 2024","1","Haiwan kesukaan aku. Duduk dalam hutan tak kacau binatang lain. Hasil laluan dia jadi jalan. Tak pernah claim raja rimba tapi rekod takda haiwan mampu bunuh dia. Anak gajah ye. Tapi gajah dewasa jangan harap.","1853143810408337580","","","in","","0","0","1","https://x.com/realadib/status/1853143810408337580","226184401","realadib"
"1853135496060555602","Sun Nov 03 18:34:11 +0000 2024","0","@hutan_bamboo Pengen bett nabok pant nya...hehe","1853143652106969468","","hutan_bamboo","in","","0","0","0","https://x.com/fafa845805/status/1853143652106969468","1691881697254715392","fafa845805"
"1853143463061303315","Sun Nov 03 18:33:25 +0000 2024","0","Bro sedikit lagi sudah jadi itu rumah impian kaum introvert. Riverside pemandangan hutan bakau lantai paling atas bisa buat lihat sunset sambil meroko kretek. ","1853143463061303315","","","in","Rangkah Kulon, Kab. Seoul, US","0","0","0","https://x.com/m_aldy_ramadhan/status/1853143463061303315","507411687","m_aldy_ramadhan"
"1853024101314728136","Sun Nov 03 18:31:23 +0000 2024","0","@IrZamaritan Udah tau babi hutan malah di deketin","1853142947757539597","","IrZamaritan","in","","0","0","0","https://x.com/Nonaavin/status/1853142947757539597","1420440872210997252","Nonaavin"
"1853001391406793036","Sun Nov 03 18:30:11 +0000 2024","0","@tattyhassan I pkai prepaid celcom bulan2 rm35 je. Masuk camping tmpt cantik tp deep dlm hutan maxis n celcom je masih ade line. Yg lain sume xde huhu. Mcm husb i kt site tukar2 site pun celcom n maxis antara yg laju line wpun site area kl. Mmg x cari dah telco lain huhu.","1853142645423628336","","tattyhassan","in","Kajang","0","0","0","https://x.com/Finie_Asif/status/1853142645423628336","130174047","Finie_Asif"
"1852884534947463419","Sun Nov 03 18:28:19 +0000 2024","0","@gayung_aer hutan sih aku","1853142176143937770","","gayung_aer","in","Indonesia","0","0","0","https://x.com/reviewtantan/status/1853142176143937770","2757554951","reviewtantan"
"1853141981188567521","Sun Nov 03 18:27:32 +0000 2024","0","simply lovely bgt ya max wkwkwk","1853141981188567521","","","in","","0","0","0","https://x.com/espegunungan/status/1853141981188567521","1248085684344086536","espegunungan"
"1853131439765889050","Sun Nov 03 18:17:10 +0000 2024","0","@hutan_bamboo iyaakann emng gituh ga enaknya ","1853139372230820309","","hutan_bamboo","in","Jakarta Selatan, DKI Jakarta","0","0","0","https://x.com/Kabelkusut55/status/1853139372230820309","1264945690498732032","Kabelkusut55"
"1852934061813092798","Sun Nov 03 18:14:22 +0000 2024","0","Di tengah hutan Opet akhirnya berhenti. Fuh... sipapasi papasi! Dengan senyum puas ia membuka durian besar dan mulai melahapnya dengan rakus. Suara kriuk kriuk terdengar saat Opet memakan durian sampai tak tersisa. https://t.co/aPicr7FKen","1853138666346201383","https://pbs.twimg.com/media/Gbery9_bYAAqReM.jpg","TAJ97KMG","in","loml, TAJ04HANNI 🖤","0","1","0","https://x.com/TAJ97KMG/status/1853138666346201383","1185484596864929797","TAJ97KMG"
"1852934061813092798","Sun Nov 03 18:13:38 +0000 2024","0","Panik Opet berlari membawa durian besar PASI! papasisapasipaaa!! Terdengar cekikikan dari dua manusia botak yg Opet pikir adalah tuyul penjaga kebun. Upin Ipin langsung mengejar Opet namun hanya sempat melihat bayangan sosoknya yang berlari cepat ke arah hutan. https://t.co/sRH9ugbQUM","1853138481801052657","https://pbs.twimg.com/media/GberoJPbgAAQ0lm.jpg","TAJ97KMG","in","loml, TAJ04HANNI 🖤","0","1","0","https://x.com/TAJ97KMG/status/1853138481801052657","1185484596864929797","TAJ97KMG"
"1853137632328618290","Sun Nov 03 18:10:15 +0000 2024","0","Lalat jaman dulu itu gak hinggap di bangkai tulang ayam krispi level 5 atau kuah seblak basi. Jaman itu malang jg masih hutan. Jadi gak perlu buang sampah sampai ke jalan gadang atau bikin tpa di mulyorejo","1853137632328618290","","","in","Indonesia","0","0","0","https://x.com/rasarabo/status/1853137632328618290","1657997541215203334","rasarabo"
"1853137039526596699","Sun Nov 03 18:07:54 +0000 2024","1","2 Juta Hutan Adat Malind &amp; Yei Dirampas Prabowo Hentikan PSN Merauke - Tandatangani Petisi! https://t.co/S2M5Uja56J lewat @ChangeOrg_ID","1853137039526596699","","","in","Depok.","0","0","0","https://x.com/M_ArifP48/status/1853137039526596699","1640990399673290758","M_ArifP48"
"1853046453851259327","Sun Nov 03 17:59:57 +0000 2024","0","@ndogito harus banget sih di tengah hutan gini","1853135038512316556","","ndogito","in","venite 🎎","0","0","0","https://x.com/mariwpossa/status/1853135038512316556","2903861520","mariwpossa"
"1853134681136668830","Sun Nov 03 17:59:57 +0000 2024","0","@idextratime @bliblidotcom Kwowkkwkw","1853135037925105697","","idextratime","in","","0","0","0","https://x.com/pertanian_hutan/status/1853135037925105697","1675854901224828928","pertanian_hutan"
"1853133442332119251","Sun Nov 03 17:53:36 +0000 2024","0","Hutan dan terowongan","1853133442332119251","","","in","ngawang-ngawang","0","0","0","https://x.com/Kedutin/status/1853133442332119251","759478309407252481","Kedutin"
"1853132646035120282","Sun Nov 03 17:50:27 +0000 2024","0","Harus bawa apa y kalo ketemu di hutan.. hiks","1853132646035120282","","","in","","0","0","0","https://x.com/Ningnoona/status/1853132646035120282","1263807667811708930","Ningnoona"
"1853129036639453667","Sun Nov 03 17:36:10 +0000 2024","0","ㅤ Tertatih di benaknya hanya terfikir untuk keluar hutan ini. Jika terlalu lama mungkin jiwanya yang akan mati dimakan hutan ini. ㅤ","1853129055287329271","","alphmarv","in","DEAD DOVE ; Do Not Eat 🔞","0","1","0","https://x.com/alphmarv/status/1853129055287329271","758758979300450304","alphmarv"
"1853129036639453667","Sun Nov 03 17:36:07 +0000 2024","0","️️ Jika bisa di artikan dirinya saat ini ia sungguh ia menyerah dengan keadaannya yang sekarang. Meringkuk di tengah hutan sendirian hanya dia dan Khodam. Dirinya nampak larut dalam suasana di hutan itu. ️️","1853129039650922983","","alphmarv","in","DEAD DOVE ; Do Not Eat 🔞","0","1","0","https://x.com/alphmarv/status/1853129039650922983","758758979300450304","alphmarv"
"1853128993085808984","Sun Nov 03 17:35:56 +0000 2024","1","Icha di tinggal di hutan oleh pelaku... https://t.co/ijVMmZGiUs","1853128993085808984","https://pbs.twimg.com/media/Gbei5pmbUAApMwf.jpg","","in","Lisboa, Portugal","0","1","0","https://x.com/opposite6892/status/1853128993085808984","1558329561783607296","opposite6892"
"1852691873279910303","Sun Nov 03 17:34:26 +0000 2024","0","@IhsanDaemon1 @tempodotco @prabowo @Gerindra Real moga aja omongan cetak sawah terwujud buat bahan pangan asal aja jangan jadi hutan sawit","1853128615325729179","","IhsanDaemon1","in","","0","0","0","https://x.com/alvi_sed/status/1853128615325729179","1804765690295099392","alvi_sed"
"1853128364481290277","Sun Nov 03 17:33:26 +0000 2024","0","takde ke servis shaving hutan tropika kat bawah ni area nilai malas laa nak shave sendiri","1853128364481290277","","","in","","0","0","1","https://x.com/farhanzulbangi/status/1853128364481290277","1823995143953043456","farhanzulbangi"
"1852279416736608312","Sun Nov 03 17:32:06 +0000 2024","0","@RajaJuliAntoni @prabowo Keren banget inisiatifnya! Harusnya memang hutan kita dirawat bukan malah dirusak sama bisnis ilegal.","1853128030602059885","","RajaJuliAntoni","in","Jateng","0","0","0","https://x.com/80fatamh99/status/1853128030602059885","1623587761","80fatamh99"
"1853119947054240061","Sun Nov 03 17:26:17 +0000 2024","0","@annaditterfly terus kurang paham deh memang topiknya terlalu berat kah buat ditayangin? Takut merusak sejarah atau gimana kah? Atau mungkin kasusnya kaya atots tentara jadi polisi hutan?","1853126565908955499","","Joongnatachai01","in","Earth","0","1","0","https://x.com/Joongnatachai01/status/1853126565908955499","1784792129849729024","Joongnatachai01"
"1853126028924956737","Sun Nov 03 17:24:09 +0000 2024","0","update soal gue. kacamata gue ilang jadi belum bisa ke hutan senayan lagi. tadinya mau bikin app pertama pake kotl1n tapi pindah ke react nat1ve dulu setelah tau react nat1ve juga bisa dipake buat deploy model mach1ne learning. semangat ","1853126028924956737","","","in","Jakarta, Indonesia","0","0","0","https://x.com/nug1209/status/1853126028924956737","262587674","nug1209"
"1852895687517798583","Sun Nov 03 17:19:34 +0000 2024","0","@jellyjilliii__ kesian yaa ditinggalin gt aja di hutan","1853124875654943135","","jellyjilliii__","in","Magelang - Jogja","0","0","0","https://x.com/widyasaput/status/1853124875654943135","1017930185176305664","widyasaput"
"1853120683779539409","Sun Nov 03 17:19:28 +0000 2024","0","@Lilbeea WKWKKW DIAJAK SI @hutan_bamboo","1853124850283614416","","Lilbeea","in","","0","1","0","https://x.com/cryinpg/status/1853124850283614416","1610002737709846528","cryinpg"
"1853124470959157348","Sun Nov 03 17:17:57 +0000 2024","0","Mula2 maxis dr umur 12 pkai pastu tukar ke umobile masa kt uni time umur 19. Pstu masa dh kerja umur 21 ke 22 tukar celcom sbb klau gi camping yg port deep2 dlm hutan pun celcom n maxis je sllu lps line elok. Suami pun ckp kt site dia celcom gak laju wpun dh tkr2 site. Apa2 》","1853124470959157348","","","in","Kajang","0","1","0","https://x.com/Finie_Asif/status/1853124470959157348","130174047","Finie_Asif"
"1853122098870509728","Sun Nov 03 17:08:32 +0000 2024","0","Teu lucu ti madirancan nyasar ka hutan caracas :(","1853122098870509728","","","in","yellowan","0","0","0","https://x.com/celvinnnnnn/status/1853122098870509728","1156556456319045633","celvinnnnnn"
"1853121704203321484","Sun Nov 03 17:06:58 +0000 2024","2","seneng bgtt klo ngeliat mereka main brg tuhh akhirnya bisa liat govert nando main keluar dri hutan ntu kangen jga sma kith kevin yg udh lama ngilang sygnya minus sandy doang huhuhu pokoknya sehat-sehat kalian semuaa #govert #axelots #nando #kithzania #imkevin #askiu https://t.co/IFSzioxYYd","1853121704203321484","https://pbs.twimg.com/media/GbecXp5awAAe086.jpg","","in","Tangerang, Banten","0","0","0","https://x.com/jiaang09/status/1853121704203321484","1809842118233583618","jiaang09"
"1853114249226449255","Sun Nov 03 17:05:09 +0000 2024","0","@dinoookuninggg bnyk njir kmu pikir jogja se hutan itu wkwkwkw","1853121249104515366","","dinoookuninggg","in","Indonesia","0","1","0","https://x.com/lmaodumpppp07/status/1853121249104515366","1809902241438121984","lmaodumpppp07"
"1853111084653363312","Sun Nov 03 17:04:36 +0000 2024","0","@hutan_bamboo otw warcing kalo otw join keburu tutup","1853121109996282137","","hutan_bamboo","in","simp4sieun","0","0","0","https://x.com/hurtroadm/status/1853121109996282137","1403094221309972482","hurtroadm"
