"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1849487160858292246","Thu Oct 24 16:40:11 +0000 2024","0","@Beritasatu Hutan di gundulin gara2 keserakahan manusia dan limbah industri buang sembarangan manusia nya juga yg bikin bencana","1849491084696854618","","Beritasatu","in","Tangerang, Indonesia","0","0","0","https://x.com/jamalkobain666_/status/1849491084696854618","1491964091883085824","jamalkobain666_"
"1845343759699222705","Sun Oct 13 06:00:11 +0000 2024","3","Aktivitas manusia seperti pembabatan hutan limbah industri dan gas buang kendaraan melepas emisi gas rumah kaca ke atmosfer yang memperparah perubahan iklim. Jadi yang bikin bumi panas akibat ulah manusia atau alam itu sendiri? @ConversationIDN https://t.co/rxCf2HmIOV","1845343759699222705","","","in","Indonesia","1","0","1","https://x.com/kerupvk/status/1845343759699222705","2814280963","kerupvk"
"1845282085528834195","Sun Oct 13 02:51:41 +0000 2024","1","@tanyarlfes guys kalo mau buang limbah medis atau industri bisa bgt nanti pake jasa perusahaanku kalo mau tanya2 tentang pembuangan limbah bisa dm ya","1845296319054921739","","tanyarlfes","in","Indonesia","0","0","1","https://x.com/nitata54/status/1845296319054921739","2859928645","nitata54"
"1839886940969283798","Sat Sep 28 04:36:44 +0000 2024","24","Beras ngimpor tuh krn Mulyono ga bisa bujuk pemda-pemda jgn konversi lahan tani jadi pabrik &amp; perumahan ga bisa hukum industri buang limbah tailing ga memberdayakan tanaman padi lokal krn pembudi daya ga ada dukungan buat tes tanam di berbagai lokasi di 🇮🇩","1839886940969283798","","","in","Flensburg","0","3","24","https://x.com/duc_of_nowhere/status/1839886940969283798","1795636356536008704","duc_of_nowhere"
"1837584342396379255","Sat Sep 21 20:07:02 +0000 2024","3249","Siapa di sini yg tau kapan terakhir septic tank dikosongin? Atau malah mgkn ga tau / pernah sama sekali? Belum lg: - bengkel yg buang oli di got - dapur yg buang minyak &amp; limbah sembarangan - industri yg buang limbah sembarangan So yes it matters!","1837584342396379255","","","in","🇮🇩 🇸🇬 🇺🇸","50","51","599","https://x.com/ivanjayawan/status/1837584342396379255","67122139","ivanjayawan"
"1836557972555874702","Thu Sep 19 18:26:46 +0000 2024","0","@yaniarsim @susipudjiastuti @jokowi @ZUL_Hasan @Kemendag Video lama di beri caption pasir. Padahal itu tentang larangan himbauan tentang limbah industri yg di buang di darat dan laut. Ampun memang di x ini militan 16 persen nya banyak banget","1836834334910898589","","yaniarsim","in","","0","0","0","https://x.com/Jengger37926320/status/1836834334910898589","1471207595763326976","Jengger37926320"
"1835278282650230850","Sun Sep 15 13:57:52 +0000 2024","11","@txtdrbekasi 1. Preman ormas makin banyak 2. Klo ga buang limbah / kasi uang kemanan bakal disamperin gerombolannya (padahal kawasan industri) 3. Preman ormas nitip karyawan minimal kuli bongkar muat 1 kontainer = 600rb 4. Jalanan interchange tetep konflik pemda dan jalan tol (rusak parah)","1835317112971338011","","txtdrbekasi","in","Sragen","0","0","0","https://x.com/detoge/status/1835317112971338011","922327453","detoge"
"1834452205346435242","Fri Sep 13 16:56:59 +0000 2024","0","@thedufresne Penanganan limbah nuklir skala industri bisa sebagus skala laboratorium nggak? Jangan-jangan asal buang. Wkwk Indo gitu lhooo","1834637411198157141","","thedufresne","in","","0","0","0","https://x.com/penempaan/status/1834637411198157141","1640812467902205963","penempaan"
"1816438577045148157","Fri Jul 26 01:05:08 +0000 2024","0","@Tan_Mar3M Sawah yg produktif dijadiin area industri pabriknya buang limbah seenaknya akhirnya area sawah dskitarnya trdampak tdk produktif lagi trs djdikan area perumahan. Jd produksi beras tiap thun smkin mnurun sdg impor smkin naik","1816640866423091707","","Tan_Mar3M","in","East Java, Indonesia","0","0","0","https://x.com/abu_hafidz66/status/1816640866423091707","745056389207199744","abu_hafidz66"
"1812297976536277467","Sun Jul 14 05:30:37 +0000 2024","4","@Leonita_Lestari Indonesia darurat narkoba darurat pencemaran alam masih banyak industri tak terhitung jumlahnya yg buang limbah begitu saja tanpa di olah pengundulan hutan jln terus pengangguran jutaan akses pendidikan hanya mudah untuk sedikit orang petani semakin sulit","1812359023766999459","","Leonita_Lestari","in","East Java, Indonesia","0","1","0","https://x.com/MhmdIsnaini/status/1812359023766999459","1010334072143351808","MhmdIsnaini"
