"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1852997727371849901","Sun Nov 03 08:54:19 +0000 2024","1","Warga jakarta ngeluh jalanan macet polusi udara parah public space kurang cari kerja susah. Lah ini program andalannya malah nyedian tempat curhat bukan solusinya ","1852997727371849901","","","in","Belakang Rumah Pak Haji","0","1","0","https://x.com/andizibran/status/1852997727371849901","927769578","andizibran"
"1852767516139118953","Sun Nov 03 08:35:31 +0000 2024","0","@fellexandro @ridwankamil Berarti warga Jakarta hanya dengan modal curhat jalanan macet jadi lancar sembako jadi murah lapangan kerja terbuka di mana-mana polusi udara hilang dan kemiskinan teratasi. Ide yang sangat..........","1852992994754077175","","fellexandro","in","","0","0","0","https://x.com/akoeMulfand/status/1852992994754077175","1100574786344804352","akoeMulfand"
"1852697421421113705","Sun Nov 03 07:13:12 +0000 2024","0","@kumparan Org stres karena macet polusi udara gadapet kerja dll solusinya.. mobil curhat. Kebiasaan indonesya: not solving by the roots. Gizi: maksi gratis. Stress: mobil curhat. Awww problem solved.","1852972280407822616","","kumparan","in","","0","0","0","https://x.com/friedchocolatee/status/1852972280407822616","1002110616666951680","friedchocolatee"
"1852767516139118953","Sun Nov 03 07:04:43 +0000 2024","22","@blacvorest @fellexandro @ridwankamil padahal dia udah sadar bikin kotak2 pengangguran polusi udara macet kejahatan tinggi bukannya diselesaikan malah warganya yang disuruh curhat logikanya ga beda jauh sama orang butuh duit tapi malah judol","1852970143896519026","","blacvorest","in","","0","0","3","https://x.com/miripkevin/status/1852970143896519026","898718244860641280","miripkevin"
"1852951133406556561","Sun Nov 03 05:49:11 +0000 2024","0","Kenapa yah kasus begini tuh pasti targetnya kegemaran remaja perempuan Btw buk daripada dibakar mending sita terus jualin terserah harga berapa aja kali daripada nambahin polusi udara karena pembakaran doang. Bantu ekonomi keluarga iya ramah lingkungan iya ‍","1852951133406556561","","","in","Internet","0","0","0","https://x.com/ploretal/status/1852951133406556561","864161298832949250","ploretal"
"1852949739530260899","Sun Nov 03 05:43:38 +0000 2024","0","KUKAR - Satuan Polisi Air dan Udara (Polairud) Polres Kutai Kartanegara melaksanakan kegiatan sambang ke masyarakat pesisir di Perairan Sungai Meriam Kecamatan Anggana Kabupaten Kutai Kartanegara pada Jumat (1/11/2024) malam. https://t.co/bgEX6GD9Gz","1852949739530260899","https://pbs.twimg.com/media/Gbb_99kbsAAfcOo.jpg","","in","Kalimantan Timur, Indonesia","0","0","0","https://x.com/humas_reskukar/status/1852949739530260899","887228085317152768","humas_reskukar"
"1852855850458923073","Sun Nov 03 04:58:14 +0000 2024","0","@ARSIPAJA Kalo masalh polusi udara misal contoh masalhnya salah 2nya ada di kendaraan bermotor dan pabrik mana yg akan lebih dikurangi di jakarta?","1852938311524135295","","ARSIPAJA","in","asia tenggara","0","0","0","https://x.com/anjasrrizkii/status/1852938311524135295","1510564229128069123","anjasrrizkii"
"1852934153500856807","Sun Nov 03 04:41:42 +0000 2024","0","Polusi udara sembako mahal macet ternyata sesimpel itu solusinya","1852934153500856807","","","in","Jakarta, Indonesia","0","0","0","https://x.com/ddbbiw/status/1852934153500856807","293827816","ddbbiw"
"1852926301402955941","Sun Nov 03 04:10:30 +0000 2024","8","Lu pikir aje ngapain w book jadwal via apps trs dateng menerjang polusi buat injek2 gimmick bertuliskan polusi udara??? Lalu pulangnya masih kena polusi lagi??????","1852926301402955941","","","in","Indonesia","0","1","5","https://x.com/juliajasminee/status/1852926301402955941","103265914","juliajasminee"
"1852744112359010531","Sun Nov 03 04:02:12 +0000 2024","1","@xauuullllllx @intinyadeh ga ngerokok tapi menghirup polusi udara jaktim ","1852924211687506062","","xauuullllllx","in","Jakarta Selatan, DKI Jakarta","4","0","2","https://x.com/seyay_/status/1852924211687506062","1304051551221161985","seyay_"
