"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1852917175176081648","Sun Nov 03 03:34:14 +0000 2024","0","Dari pilpres udh kecewa gada calon pemimpin yg bener2 angkat isu soal sampah gada yg tertarik apa buat belajar dari negara maju yg warganya udh bisa melakukan proses pemilahan sampah sendiri? Kan rakyat jadi dispilin dan negara jadi lebih mudah untuk proses pengelolaan smapahnya","1852917175176081648","","","in","Indonesia","0","0","0","https://x.com/erkaka_/status/1852917175176081648","65843695","erkaka_"
"1852697421421113705","Sun Nov 03 03:18:31 +0000 2024","1","@kumparan Sebenarnya kalo mau janji2 gausah yg aneh2 sih cukup perbanyak taman kota + janji keamanan di area taman perbaikan pengelolaan sampah sama penertiban ormas dan prmanisme. Dah itu aja cukup.","1852913220211900901","","kumparan","in","","0","0","1","https://x.com/Jujurasasapi/status/1852913220211900901","1723423812426027008","Jujurasasapi"
"1852791505041412355","Sat Nov 02 19:14:52 +0000 2024","0","Gadget diservis sendiri ada limbah baterai bekas yg sudah tak bisa dipakai lagi. Bingung harus dibuang kemana. Baru ingat kalau pengelolaan sampah di Jakarta itu belum memenuhi standar minimum untuk pemisahan limbah organik anorganik dan B3. Kota acuan berbagai daerah loh ini.","1852791505041412355","","","in","","0","0","0","https://x.com/wibowo_choir/status/1852791505041412355","1439092285770113027","wibowo_choir"
"1852745631573643587","Sat Nov 02 16:12:35 +0000 2024","0","Bagi Kang Farhan pengelolaan sampah bukan hanya tanggung jawab pemerintah tapi juga melibatkan warga. Bandung harus berkolaborasi! #BandungUtama https://t.co/y9OvpkMuJI","1852745631573643587","","","in","Barat","0","0","0","https://x.com/akangmemedh/status/1852745631573643587","1479049724","akangmemedh"
"1852738156858360110","Sat Nov 02 15:42:53 +0000 2024","0"," Pemilahan dari rumah tapi pengangkutan kudu disiplin! Kang Farhan siap hadapi tantangan pengelolaan sampah di Bandung dengan solusi terencana dan praktis. #BandungUtama https://t.co/kH13dWXARA?","1852738156858360110","","","in","ITF 1950 Indonesia","0","0","0","https://x.com/Animayafortuna/status/1852738156858360110","1877186323","Animayafortuna"
"1852731794048856457","Sat Nov 02 15:17:37 +0000 2024","1","Hal ini jadi satu poin dalam Surat Edaran (SE) Penjabat Wali Kota Pekanbaru Risnandar Mahiwa perihal penerapan peraturan daerah tentang pengelolaan sampah. Selengkapnya https://t.co/Z8PSZDpq3I","1852731797324644483","","infoPKU","in","Pekanbaru","0","0","0","https://x.com/infoPKU/status/1852731797324644483","168590064","infoPKU"
"1852685373807509523","Sat Nov 02 13:51:15 +0000 2024","0","@bangherikoswara Malem Bang Heri saya tetangga abang di Jatiasih. Ada ngga ya program bapak soal pengelolaan sampah? Ini aja bahasan sampah di X bpk terakhir 2021. Kita-kita nih malu dikatain Bekasi bau https://t.co/BMp80PVn4t","1852710061770240064","https://pbs.twimg.com/media/GbYl-lUbAAAPqsY.jpg","bangherikoswara","in","","0","1","1","https://x.com/azzikukuh/status/1852710061770240064","153804441","azzikukuh"
"1852701591872377134","Sat Nov 02 13:17:35 +0000 2024","0","Ciptakan Rantai Ekonomi Dari Pengelolaan Sampah Sektor 6 ternak ayam dan ikan sehingga memberikan manfaat ekonomi. Memaksimalkan pengelolaan sampah organik dengan memperbesar rumah maggot. Maggot dijadikan pakan 260 ekor ayam 300 bebek dan 1.700 ekor lele Wiiii kerennn https://t.co/PnEDzQRHYJ","1852701591872377134","https://pbs.twimg.com/media/GbYeRnybQAA9whe.jpg","","in","Bandung, Jawa Barat","0","1","0","https://x.com/SatgasCitarum/status/1852701591872377134","1093816099747975168","SatgasCitarum"
"1852698364519063686","Sat Nov 02 13:07:34 +0000 2024","0","@tuyulberjalan Karena realitanya pengelolaan sampah di sini masih jauh dari kata sesuai dengan teori yg ada","1852699068621045794","","tuyulberjalan","in","kita usahakan w132 itu","0","0","0","https://x.com/inazuvma/status/1852699068621045794","1130343859374833664","inazuvma"
"1852312177274912856","Sat Nov 02 12:15:16 +0000 2024","9","@PakarINTELek @xcintakiehlx @pramonoanung Ini tetep ga menyelesaikan masalah lalu sampah yang dibersihkan pasukan oren akan dibawa kemana? Persoalan saat ini udah bukan hanya buang sampah pada tempatnya aja tapi udah ke pengelolaan sampah yang baik dan benar.","1852685909176860883","","PakarINTELek","in","","0","0","0","https://x.com/shasahue/status/1852685909176860883","1119565952398450688","shasahue"
"1852666753643356263","Sat Nov 02 10:59:09 +0000 2024","0","Analisa Untung Rugi Revisi Undang Undang Pengelolaan Sampah https://t.co/R8iLlWfoHo","1852666753643356263","","","in","Kota Surabaya, Jawa Timur","0","0","0","https://x.com/NAhirullah/status/1852666753643356263","1310557253867454465","NAhirullah"
"1852660982587523130","Sat Nov 02 10:36:13 +0000 2024","1","Semoga bu risma terpilih menjadi Gubernur Jatim dan bisa membantu memecahkan masalah di Malang Raya Tentang *Kemacetan dan Banjir di Kota Malang *Tentang Pengelolaan Sampah di Kota Batu *Beberapa Ruas Jalanan di Kab Malang yg Kurang Lebar *carut marut parkiran di Batu dan Malang","1852660982587523130","","","in","-7.855267,112.49649 KWB ","0","0","0","https://x.com/goonjol/status/1852660982587523130","3023096556","goonjol"
"1852659526077395322","Sat Nov 02 10:30:26 +0000 2024","1","berarti 130t ini termasuk opportunity cost ya pemda kalau mereka ga efiesien dalam pengelolaan sampah ya.. bisa dikriminalisasi gak nih kan termasuk merugikan negara ratusan trilliun","1852659526077395322","","","in","she/they, nonlabel. ","0","0","0","https://x.com/oxygeine/status/1852659526077395322","848433798","oxygeine"
"1852651363467251945","Sat Nov 02 09:58:00 +0000 2024","0","Suka deh isu ini dibahas. Dulu pernah volunteer pengelolaan sampah di acara acara konser. Kitanya mah udah filter sampah yg bisa di recycle dan ngga. Tapi endingnya pas diambil sm petugasnya malah digabungin. Fyi ini bukan sekali dua kali ","1852651363467251945","","","in","","0","0","0","https://x.com/kalasyani/status/1852651363467251945","1170692518230409217","kalasyani"
"1852637606724702657","Sat Nov 02 09:03:20 +0000 2024","0","dari dulu kepikiran kapan ya indonesia punya pengelolaan sampah yg baik. dari kecil selalu ditekenin buat buang sampah pada tempatnya tp kalo pada pengelolaan akhirnya gitu2 aja dan dibiarkan menggunung kan gabakal menghasilkan apa2 selain polusi","1852637606724702657","","","in","","0","0","0","https://x.com/ninjawaerror/status/1852637606724702657","3254073590","ninjawaerror"
"1852628592423063728","Sat Nov 02 08:27:31 +0000 2024","0","Asisten III Setda Barsel lounching kolaborasi pengelolaan sampah https://t.co/WPwgAsuZeP lewat @YouTube","1852628592423063728","","","in","Jl. RTA Milono Km 2,5 Palangka","0","0","0","https://x.com/Antara_Kalteng/status/1852628592423063728","2421788773","Antara_Kalteng"
"1852603973670437307","Sat Nov 02 06:49:41 +0000 2024","54","Kewajiban pemilahan sampah sejak dari rumah tangga di Jakarta sebenarnya udah diatur di dalam Perda 3/2013 (tentang pengelolaan sampah) berikut sanksi administratifnya. Yak layaknya isu lain aturan sudah ada tapi penegakan hukumnya yang lemah. https://t.co/5OsT4R4wR2","1852603973670437307","https://pbs.twimg.com/media/GbXFfUVa8AE4c0d.jpg","","in","Indonesia ","2","4","9","https://x.com/stravenues/status/1852603973670437307","1764278689188237312","stravenues"
"1852312177274912856","Sat Nov 02 06:31:16 +0000 2024","1","@xcintakiehlx Ini menteri/ kepala dinas yg ngelola bisa digugatkan? Karena kebijakan yg diambil dlm kurangnya pengelolaan sampah bikin Indonesia kehilangan keuntungan 130 T pertahun...","1852599338767462515","","xcintakiehlx","in","","0","0","0","https://x.com/Marinyam1111/status/1852599338767462515","1654107209062846465","Marinyam1111"
"1852554866222313667","Sat Nov 02 06:24:50 +0000 2024","1","@wleo3kali @stravenues Sebenernya kalo bakar sampah masih bisa ditarik ke pengelolaan sampah pemdanya sih. Kalo ngerokok sambil berkendara itu pure bodoh aja","1852597718704927142","","wleo3kali","in","","0","0","0","https://x.com/MF_Rais/status/1852597718704927142","177842605","MF_Rais"
"1852593199447162967","Sat Nov 02 06:06:52 +0000 2024","5","2022 kami nulis soal sampah makanan yang jumlahnya justru paling banyak dari sektor rumah tangga karena minimnya pengetahuan soal pengelolaan sampah. Ada newsgame juga yang bisa kamu isi buat ngitung simulasi sampah buanganmu (awas insecure) https://t.co/aMfuJzYK9A https://t.co/Hr9oagGatZ","1852593199447162967","https://pbs.twimg.com/media/GbW7shjbMAA3hCo.jpg","","in","Indonesia","0","0","2","https://x.com/by_inkriya/status/1852593199447162967","1346049038441877504","by_inkriya"
"1852554866222313667","Sat Nov 02 04:27:31 +0000 2024","0","@stravenues Asli deh jangankan mulai pengolahan sampah kesadaran pengelolaan sampah yang baik di masyarakat unit terkecil pun masih nihil banget","1852568194550284630","","CharlieVictor_5","in","Jakarta Capital Region","0","0","0","https://x.com/CharlieVictor_5/status/1852568194550284630","978330385","CharlieVictor_5"
"1852554866222313667","Sat Nov 02 04:25:07 +0000 2024","4","@stravenues Gw inget banget dulu kkn proker kelompok bikin program sadar sampah tau dah masih dijalanin desa apa engga wkwkwk dimulai dari kurangnya kesadaran masyarakat desa soal pengelolaan sampah dan budgeting desa yang ga inklusif soal permasalahan itu karna mepet kita cuman mentok-","1852567591975576062","","stravenues","in","Jakarta Capital Region","0","2","0","https://x.com/CharlieVictor_5/status/1852567591975576062","978330385","CharlieVictor_5"
"1852550086779416779","Sat Nov 02 03:45:56 +0000 2024","0","Seperti dilakukan Singapura yg mulai membangun sistem pengelolaan sampah elektronik berdasarkan pendekatan Extended Producer Responsibility (EPR) pada 2020.","1852557732487786860","","ESG4Indonesia","in","Indonesia","0","1","0","https://x.com/ESG4Indonesia/status/1852557732487786860","1749672569664679936","ESG4Indonesia"
"1852554866222313667","Sat Nov 02 03:34:33 +0000 2024","177","Isu yang kita semua tahu itu nyata tapi solusinya jarang diangkat di dalam gagasan calon pemimpin. Buruknya pengelolaan dari hulu bikin gunungan sampah di hilir. 35 TPA terbakar selama 2023 puluhan tpa lainnya sudah overcapacity. Dampak lingkungan lainnya juga disebutkan dalam https://t.co/dVWvBZt44w","1852554866222313667","https://pbs.twimg.com/media/GbWY08VawAAIHlO.jpg","","in","Indonesia ","5","8","66","https://x.com/stravenues/status/1852554866222313667","1764278689188237312","stravenues"
"1852512908112224372","Sat Nov 02 00:47:55 +0000 2024","0","Masalah lain yang akan kami selesaikan adalah tentang pengelolaan Sampah. Sebagai salah satu pusat pariwisata di Jawa Timur produksi sampah di Batu cukup tinggi. Pengelolaan sampah yang baik akan menjaga kelestarian lingkungan sekaligus mempertahankan keasrian #mBatuSAE","1852512929247326451","","nurochmanheli","in","Batu, Indonesia","0","0","0","https://x.com/nurochmanheli/status/1852512929247326451","1830687972775337986","nurochmanheli"
"1852475699225112928","Fri Nov 01 22:19:58 +0000 2024","0","Program ini melibatkan kegiatan edukatif yang mengajarkan anak-anak tentang perlunya menjaga kelestarian alam dan lingkungan sekitar mereka. Kegiatan tersebut dapat mencakup penanaman pohon pengelolaan sampah dan kampanye tentang penggunaan energi terbarukan. https://t.co/3xLufR8cOT","1852475699225112928","https://pbs.twimg.com/media/GbVQ04ZbQAAC3W8.jpg","","in","","0","0","0","https://x.com/Kiranaituayu/status/1852475699225112928","1503302954203291650","Kiranaituayu"
"1852459412675559428","Fri Nov 01 21:15:15 +0000 2024","1","Yayasan Bakti Barito dan Bukalapak Rayakan Keberhasilan Pengelolaan Sampah Melalui Program SINAU #parahyanganpost https://t.co/RAC4kDFTV4 @PSBaritoPutera @BaritoGaling","1852459412675559428","","","in","Pasar Minggu, Indonesia","0","0","0","https://x.com/ParahyanganPost/status/1852459412675559428","276847477","ParahyanganPost"
