complaint,is_complaint
iyasih kalo banjir inginnya mengumpat pemerintah dan yang suka buang sampah sembarangan kalau gak banjir yaudah pake payung,1
lebih baik fokus ke lebih bermanfaat aja min buat apa bahas sesuatu yang sampah miris memang faktualnya orang orang yang tak punya adab semoga jempol kita dijauhkan dari hal tidak berguna,0
waktu masih bocah tahu kan paling suka kalo hujan kita main air hujan hujanan nah dulu tuh rumah masih jarang yang di halaman rumahnya di semen semua main air hujan sambil sepedaan di halaman orang yang udah di plur di semen jatoh pingsan ber jam jam pokok udah di datengin,0
mana pas make keseringan kena macet jelas ga dapat feeling pleasurenya nyetir,0
pesan moral kamu boleh menjahili bawahanmu jika kamu adalah kaisar tapi ingat jangan ambil aset milik bawahanmu dia bisa membuat namamu dan keluargamu tercemar lewat karyanya,0
aku tinggal di kota ini tapi disini gak desa kok ini masih kota fasilitas kota nya lengkap transport umum juga bagus apalagi tempat wisatanya banyak,1
bro menhutan mangrove di bali semakin hancur siapa yang harus awasin bro,1
kemudian pengelolaan lingkungan jadi buruk kalau dikuasai koruptor mau merawat dan menata lingkungan ga ada dananya lahan sungai dan laut jadi berantakan karena pencemaran dan sampah serta eksploitasi berlebihan kita mau mancing jadi sulit ikannya kan penderitaan itu namanya,1
karna negara eropa udah maju ratusan tahun bukan negara maju baru macam china jepang south korea,0
sorry to say ini pemikiran bodoh kenapa polusi jadi turun langit cerah cuaca adem tumbuhan dapet air jadi bisa tumbuh and masih banyak lagi contoh nya,0
jangan menyerah menyadarkan lingkungan sekitar kita walaupun capek tapi tetep jangan nyerah,1
when bapak ngabarin bahwa kalau beliau njemput gua bahkan nungguin pas langit lagi panas panasnya sumpah ga boong begitu sampe kamar gua langsung mandi saking gerahnya dan saat itu beliau bawanya motor bukan mobil katane biar sat set ga kena macet,0
dari pembangunan fasilitas umum pelatihan pelatihan sampe bantuan sosial semuanya kerasa manfaatnya buat masyarakat,1
nih klo gue dikenalin sama tetangga gue bjirlahh gue ga bisa pake celana daster keluar rumah kek buang sampah aja harus cakep kali yaa,0
bagussss jangan gila nya ama rendi deh ge rendi ga worth it ditangisin,0
jir emang loe tinggal di jepang lu mau cari kerja apa disana freelancer adanya jadi buruh kaya petani ato kerja pabrik,0
gaada terpaksa terpaksanya apa apa juga diusahain disanggupin kan lupa teh bilang ini itu ini itu emang gabisa aja segala bilang terpaksa ini itu terpaksa pura pura ke sampah ini doang yang dijadiin mainan doang udah ga guna dibuang ya rugiin lagi hehe,0
ditambah air dikit soalnya klo gak ada airnya nanti gosong,0
baru beres sholat subuh mataku dah tercemar melihat sg eajpark itu,0
kita butuh perubahan hukum yang beneran nendang biar lingkungan kita bisa terlindungi dengan baik,1
